Time (s);EOG1;Sampling Rate
2.5647999959e+01;-8.0936421206e+01;
2.5651999959e+01;-8.0845215991e+01;
2.5655999959e+01;-8.2101073150e+01;
2.5659999958e+01;-8.3599559780e+01;
2.5663999958e+01;-8.4311319586e+01;
2.5667999959e+01;-8.4179477802e+01;
2.5671999959e+01;-8.3534937307e+01;
2.5675999959e+01;-8.2377701065e+01;
2.5679999958e+01;-8.0723977620e+01;
2.5683999958e+01;-7.9205740836e+01;
2.5687999959e+01;-7.8704694655e+01;
2.5691999959e+01;-7.9437104026e+01;
2.5695999959e+01;-8.0758700253e+01;
2.5699999959e+01;-8.1847604109e+01;
2.5703999958e+01;-8.2259281639e+01;
2.5707999958e+01;-8.1821801139e+01;
2.5711999959e+01;-8.0539888729e+01;
2.5715999959e+01;-7.8787527192e+01;
2.5719999959e+01;-7.7214934999e+01;
2.5723999958e+01;-7.6312580732e+01;
2.5727999958e+01;-7.6201302808e+01;
2.5731999958e+01;-7.6983326313e+01;
2.5735999958e+01;-7.8873451628e+01;
2.5739999958e+01;-8.1335969524e+01;
2.5743999958e+01;-8.2598247254e+01;
2.5747999958e+01;-8.1009358654e+01;
2.5751999958e+01;-7.6797403703e+01;
2.5755999958e+01;-7.1967475262e+01;
2.5759999958e+01;-6.8739240565e+01;
2.5763999958e+01;-6.8418909514e+01;
2.5767999958e+01;-7.1030876691e+01;
2.5771999958e+01;-7.5137291548e+01;
2.5775999958e+01;-7.8265528975e+01;
2.5779999958e+01;-7.8576324920e+01;
2.5783999958e+01;-7.6602288201e+01;
2.5787999958e+01;-7.4555468849e+01;
2.5791999958e+01;-7.3755240441e+01;
2.5795999958e+01;-7.3843258142e+01;
2.5799999958e+01;-7.4179267714e+01;
2.5803999958e+01;-7.4545296025e+01;
2.5807999958e+01;-7.4670139579e+01;
2.5811999958e+01;-7.4140287313e+01;
2.5815999958e+01;-7.3033682455e+01;
2.5819999958e+01;-7.2092760980e+01;
2.5823999958e+01;-7.1632863731e+01;
2.5827999958e+01;-7.0557557337e+01;
2.5831999958e+01;-6.7417854247e+01;
2.5835999958e+01;-6.2993834761e+01;
2.5839999958e+01;-6.1184719735e+01;
2.5843999958e+01;-6.6314378498e+01;
2.5847999958e+01;-7.9970962606e+01;
2.5851999958e+01;-1.0081609144e+02;
2.5855999958e+01;-1.2616259961e+02;
2.5859999958e+01;-1.5335780478e+02;
2.5863999958e+01;-1.8089372903e+02;
2.5867999958e+01;-2.0877976055e+02;
2.5871999958e+01;-2.3770931018e+02;
2.5875999958e+01;-2.6803339173e+02;
2.5879999958e+01;-2.9933772955e+02;
2.5883999958e+01;-3.3053344692e+02;
2.5887999958e+01;-3.6053938454e+02;
2.5891999958e+01;-3.8885103018e+02;
2.5895999958e+01;-4.1533134895e+02;
2.5899999958e+01;-4.4015555969e+02;
2.5903999958e+01;-4.6394696000e+02;
2.5907999958e+01;-4.8711852009e+02;
2.5911999958e+01;-5.0933486073e+02;
2.5915999958e+01;-5.3015450445e+02;
2.5919999958e+01;-5.4954595545e+02;
2.5923999958e+01;-5.6738945797e+02;
2.5927999958e+01;-5.8320029468e+02;
2.5931999958e+01;-5.9671140268e+02;
2.5935999958e+01;-6.0832229333e+02;
2.5939999958e+01;-6.1854714172e+02;
2.5943999958e+01;-6.2720919543e+02;
2.5947999958e+01;-6.3389515877e+02;
2.5951999958e+01;-6.3904588293e+02;
2.5955999958e+01;-6.4368271588e+02;
2.5959999958e+01;-6.4824228011e+02;
2.5963999958e+01;-6.5239938236e+02;
2.5967999958e+01;-6.5587464246e+02;
2.5971999958e+01;-6.5889033642e+02;
2.5975999958e+01;-6.6169911556e+02;
2.5979999958e+01;-6.6419250297e+02;
2.5983999958e+01;-6.6644284185e+02;
2.5987999958e+01;-6.6903615772e+02;
2.5991999958e+01;-6.7207823744e+02;
2.5995999958e+01;-6.7447569078e+02;
2.5999999958e+01;-6.7519129620e+02;
2.6003999958e+01;-6.7453486758e+02;
2.6007999958e+01;-6.7329688497e+02;
2.6011999958e+01;-6.7146219466e+02;
2.6015999958e+01;-6.6869261870e+02;
2.6019999958e+01;-6.6527527141e+02;
2.6023999958e+01;-6.6175194849e+02;
2.6027999958e+01;-6.5834061014e+02;
2.6031999958e+01;-6.5542113374e+02;
2.6035999958e+01;-6.5383580946e+02;
2.6039999958e+01;-6.5399263712e+02;
2.6043999958e+01;-6.5519453844e+02;
2.6047999958e+01;-6.5629329482e+02;
2.6051999958e+01;-6.5653192715e+02;
2.6055999958e+01;-6.5561552576e+02;
2.6059999958e+01;-6.5333856257e+02;
2.6063999958e+01;-6.4925896742e+02;
2.6067999958e+01;-6.4320758225e+02;
2.6071999958e+01;-6.3620699758e+02;
2.6075999958e+01;-6.2992726954e+02;
2.6079999958e+01;-6.2515123694e+02;
2.6083999958e+01;-6.2153960394e+02;
2.6087999958e+01;-6.1864688177e+02;
2.6091999958e+01;-6.1600900968e+02;
2.6095999958e+01;-6.1241220407e+02;
2.6099999958e+01;-6.0676647543e+02;
2.6103999958e+01;-5.9961849334e+02;
2.6107999958e+01;-5.9246139449e+02;
2.6111999958e+01;-5.8611419326e+02;
2.6115999958e+01;-5.8064577126e+02;
2.6119999958e+01;-5.7603413398e+02;
2.6123999958e+01;-5.7195763739e+02;
2.6127999958e+01;-5.6747935474e+02;
2.6131999958e+01;-5.6199096865e+02;
2.6135999958e+01;-5.5613745499e+02;
2.6139999958e+01;-5.5091534321e+02;
2.6143999958e+01;-5.4625879602e+02;
2.6147999958e+01;-5.4132823694e+02;
2.6151999958e+01;-5.3594522634e+02;
2.6155999958e+01;-5.3072098465e+02;
2.6159999958e+01;-5.2580863277e+02;
2.6163999958e+01;-5.2085515982e+02;
2.6167999958e+01;-5.1600324257e+02;
2.6171999958e+01;-5.1149142994e+02;
2.6175999958e+01;-5.0679307173e+02;
2.6179999958e+01;-5.0147919462e+02;
2.6183999958e+01;-4.9628309395e+02;
2.6187999958e+01;-4.9225785249e+02;
2.6191999958e+01;-4.8923508367e+02;
2.6195999958e+01;-4.8591842394e+02;
2.6199999958e+01;-4.8150595555e+02;
2.6203999958e+01;-4.7642036113e+02;
2.6207999958e+01;-4.7128698925e+02;
2.6211999958e+01;-4.6610055203e+02;
2.6215999958e+01;-4.6074165861e+02;
2.6219999958e+01;-4.5571576535e+02;
2.6223999958e+01;-4.5175507205e+02;
2.6227999958e+01;-4.4874948923e+02;
2.6231999958e+01;-4.4611063439e+02;
2.6235999958e+01;-4.4459323126e+02;
2.6239999958e+01;-4.4631908283e+02;
2.6243999958e+01;-4.5170013664e+02;
2.6247999958e+01;-4.5664251496e+02;
2.6251999957e+01;-4.5386671211e+02;
2.6255999957e+01;-4.3788905170e+02;
2.6259999957e+01;-4.0903123473e+02;
2.6263999958e+01;-3.7294076058e+02;
2.6267999958e+01;-3.3668988742e+02;
2.6271999958e+01;-3.0455832019e+02;
2.6275999957e+01;-2.7631125647e+02;
2.6279999957e+01;-2.4917554060e+02;
2.6283999958e+01;-2.2096031185e+02;
2.6287999958e+01;-1.9076407406e+02;
2.6291999958e+01;-1.5799382245e+02;
2.6295999957e+01;-1.2250728291e+02;
2.6299999957e+01;-8.5386449995e+01;
2.6303999957e+01;-4.8217606077e+01;
2.6307999958e+01;-1.1524117229e+01;
2.6311999958e+01;2.5317621410e+01;
2.6315999958e+01;6.2627667805e+01;
2.6319999957e+01;9.9584834852e+01;
2.6323999957e+01;1.3503606391e+02;
2.6327999958e+01;1.6864934826e+02;
2.6331999958e+01;2.0058052115e+02;
2.6335999958e+01;2.3026566408e+02;
2.6339999957e+01;2.5665517340e+02;
2.6343999957e+01;2.7949415204e+02;
2.6347999957e+01;2.9940141512e+02;
2.6351999958e+01;3.1702430201e+02;
2.6355999958e+01;3.3270461689e+02;
2.6359999957e+01;3.4643930864e+02;
2.6363999957e+01;3.5771682726e+02;
2.6367999957e+01;3.6565132913e+02;
2.6371999957e+01;3.6988212917e+02;
2.6375999957e+01;3.7163430532e+02;
2.6379999957e+01;3.7312756155e+02;
2.6383999957e+01;3.7546002119e+02;
2.6387999957e+01;3.7785187781e+02;
2.6391999957e+01;3.7916532816e+02;
2.6395999957e+01;3.7927428984e+02;
2.6399999957e+01;3.7865948372e+02;
2.6403999957e+01;3.7730266569e+02;
2.6407999957e+01;3.7476791659e+02;
2.6411999957e+01;3.7140271726e+02;
2.6415999957e+01;3.6843359754e+02;
2.6419999957e+01;3.6662024593e+02;
2.6423999957e+01;3.6576861346e+02;
2.6427999957e+01;3.6553072134e+02;
2.6431999957e+01;3.6572399171e+02;
2.6435999957e+01;3.6592594204e+02;
2.6439999957e+01;3.6563378278e+02;
2.6443999957e+01;3.6487268635e+02;
2.6447999957e+01;3.6389749208e+02;
2.6451999957e+01;3.6253126853e+02;
2.6455999957e+01;3.6080187567e+02;
2.6459999957e+01;3.5976161633e+02;
2.6463999957e+01;3.6042419630e+02;
2.6467999957e+01;3.6217893589e+02;
2.6471999957e+01;3.6322749119e+02;
2.6475999957e+01;3.6249688676e+02;
2.6479999957e+01;3.6055012986e+02;
2.6483999957e+01;3.5862908939e+02;
2.6487999957e+01;3.5738959738e+02;
2.6491999957e+01;3.5691121583e+02;
2.6495999957e+01;3.5729342079e+02;
2.6499999957e+01;3.5839917011e+02;
2.6503999957e+01;3.5931897515e+02;
2.6507999957e+01;3.5900729625e+02;
2.6511999957e+01;3.5741434032e+02;
2.6515999957e+01;3.5513568097e+02;
2.6519999957e+01;3.5214141342e+02;
2.6523999957e+01;3.4811937643e+02;
2.6527999957e+01;3.4382914408e+02;
2.6531999957e+01;3.4055022220e+02;
2.6535999957e+01;3.3843863753e+02;
2.6539999957e+01;3.3694085995e+02;
2.6543999957e+01;3.3645767000e+02;
2.6547999957e+01;3.3801930418e+02;
2.6551999957e+01;3.4140743872e+02;
2.6555999957e+01;3.4473061787e+02;
2.6559999957e+01;3.4592819101e+02;
2.6563999957e+01;3.4424448758e+02;
2.6567999957e+01;3.4028588508e+02;
2.6571999957e+01;3.3519505641e+02;
2.6575999957e+01;3.3030433483e+02;
2.6579999957e+01;3.2705017340e+02;
2.6583999957e+01;3.2616793280e+02;
2.6587999957e+01;3.2711745764e+02;
2.6591999957e+01;3.2877656602e+02;
2.6595999957e+01;3.3017841483e+02;
2.6599999957e+01;3.3043118088e+02;
2.6603999957e+01;3.2892297084e+02;
2.6607999957e+01;3.2613086014e+02;
2.6611999957e+01;3.2352032018e+02;
2.6615999957e+01;3.2202580630e+02;
2.6619999957e+01;3.2100229678e+02;
2.6623999957e+01;3.1931713276e+02;
2.6627999957e+01;3.1717103614e+02;
2.6631999957e+01;3.1577294488e+02;
2.6635999957e+01;3.1536571673e+02;
2.6639999957e+01;3.1499984341e+02;
2.6643999957e+01;3.1415645956e+02;
2.6647999957e+01;3.1321485800e+02;
2.6651999957e+01;3.1246635558e+02;
2.6655999957e+01;3.1174451670e+02;
2.6659999957e+01;3.1131064842e+02;
2.6663999957e+01;3.1248520894e+02;
2.6667999957e+01;3.1607552325e+02;
2.6671999957e+01;3.1989968604e+02;
2.6675999957e+01;3.1961814929e+02;
2.6679999957e+01;3.1275108750e+02;
2.6683999957e+01;3.0086451108e+02;
